PersonId	FullName	HeadShotFilename	Affiliation	StudyId	SpinOffId	LeadRole	SpinOffRole	CoordinatorRole	AdvisorRole	CoInvestigatorRole	ScholarUrl	UniUrl	LabUrl
fmushtaq	Faisal Mushtaq	fmushtaq.png	University of Leeds	YeungSanfey2004		1	0	1	0	0	https://scholar.google.com/citations?user=bcjpWSwAAAAJ&hl=en&oi=ao	https://medicinehealth.leeds.ac.uk/psychology/staff/632/dr-faisal-mushtaq	https://immersivecognition.com/people/faisal-mushtaq/
ypavlov	Yuri Pavlov	ypavlov.jpg	University of Alabama at Birmingham			0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=nSM_MxUAAAAJ	https://www.medizin.uni-tuebingen.de/de/das-klinikum/mitarbeiter/profil/2191	https://yurigpavlov.com/
dwelke	Dominik Welke	dwelke.jpg	University of Leeds			0	0	1	0	0	https://scholar.google.de/citations?user=B5xCyM0AAAAJ&hl=de	https://immersivecognition.com/people/	
jvandenbosch	Jasper van den Bosch	jvandenbosch.jpg	University of Leeds			0	0	1	0	0	https://scholar.google.com/citations?user=XQ3-JHgAAAAJ&hl=en	https://www.birmingham.ac.uk/staff/profiles/psychology/bosch-jasper-van-den.aspx	
abland	Amy Bland	abland.jpg	Manchester Metropolitan University	HajcakFoti2008		1	0	0	0	1	https://scholar.google.com/citations?user=nQl3r9kAAAAJ&hl=en&oi=ao	https://www.mmu.ac.uk/staff/profile/dr-amy-bland	
marvaneh	Mahnaz Arvaneh	marvaneh.jpg	University of Sheffield			0	0	0	0	1	https://scholar.google.com.sg/citations?user=HBxF7nAAAAAJ&hl=en	https://www.sheffield.ac.uk/acse/department/people/academic/mahnaz-arvaneh	
xhe	Xun He	xhe.png	Bournemouth University	Eimer2003		1	0	0	0	1	https://scholar.google.com/citations?user=08oketoAAAAJ&hl=en&oi=ao	https://staffprofiles.bournemouth.ac.uk/display/xhe	
roostenveld	Robert Oostenveld	roostenveld.jpg	Donders Institute for Brain, Cognition and Behaviour			0	0	0	1	0	https://scholar.google.co.uk/citations?user=eEbaa0UAAAAJ&hl=en	https://www.ru.nl/en/people/oostenveld-r	
dbradford	Daniel Bradford	dbradford.jpg	Oregon State University	HajcakFoti2008		1	0	0	0	0	https://scholar.google.com/citations?user=mFzYd1sAAAAJ&hl=en		https://beaverslab.com/
achatard	Armand Chatard	achatard.png	University of Poitiers	Frank2005		1	0	0	0	0	https://scholar.google.com/citations?user=frClUFcAAAAJ&hl=en&oi=ao	https://cerca.labo.univ-poitiers.fr/en/membres/armand-chatard-2/	
dcruse	Damian Cruse	dcruse.jpg	University of Birmingham	Sergent2005		1	0	0	0	0	https://scholar.google.com/citations?user=P98yGl4AAAAJ&hl=en&oi=ao	https://www.birmingham.ac.uk/staff/profiles/psychology/cruse-damian	https://www.damiancruse.com/
mgamer	Matthias Gamer	mgamer.jpg	University of Würzburg	Miltner1999		1	0	0	0	0	https://scholar.google.com/citations?user=9L2AQE4AAAAJ&hl=en	https://www.psychologie.uni-wuerzburg.de/en/expklin/staff/matthias-gamer/	
gganis	Giorgio Ganis	gganis.jpg	University of Plymouth	Eimer1993		1	0	0	0	0	https://scholar.google.com/citations?user=-j9yBRgAAAAJ&hl=en	https://www.plymouth.ac.uk/staff/giorgio-ganis	
sgregory	Samantha Gregory	sgregory.jpg	University of Salford	Onton2005		1	0	0	0	0	https://scholar.google.com/citations?user=D5YaHnUAAAAJ&hl=en	https://www.salford.ac.uk/our-staff/samantha-gregory	https://sites.google.com/view/drsamanthaeagregory/home
chassall	Cameron Hassall	chassall.jpg	MacEwan University	Vidal2000		1	0	0	0	0	https://scholar.google.com/citations?user=-doZi8MAAAAJ&hl=en	https://www.macewan.ca/academics/academic-departments/psychology/our-people/profile/?profileid=hassallc	https://www.cameronhassall.com/
kgloy	Kilian Gloy	kgloy.jpg	University of Bremen	AmodioMaster2008		1	0	0	0	0		https://www.uni-bremen.de/en/pppd/team/dr-kilian-gloy	
jkaiser	Jakob Kaiser	jkaiser.jpg	LMU Munich	Boksem2006		1	0	0	0	0	https://scholar.google.com/citations?user=lSBrwo4AAAAJ&hl=en&oi=sra	https://www.psy.uni-muenchen.de/expneurocog/people/lab-members/jakob_kaiser/index.html	
akeil	Andreas Keil	akeil.png	University of Florida	ClarkHillyard1996		1	0	0	0	0	https://scholar.google.com/citations?user=oyHUTa0AAAAJ&hl=en&oi=ao	https://people.clas.ufl.edu/akeil/	https://www.ufbrainwaves.info/people
